"ID";NAME;TRADEDATE;OPEN;HIGH;LOW;CLOSE;VALUE;DURATION;YIELD
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-11-13;;;;6.01;72973587775.08;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-11-12;;;;5.99;71342289653.36;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-11-11;;;;5.89;69636039275.51;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-11-08;;;;5.92;70804857630.78;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-11-07;;;;6.23;73949437890.39;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-11-06;;;;6.23;75103379826.15;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-11-05;;;;6.22;72406574784.03;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-11-01;;;;6.23;73430593360.53;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-10-31;;;;6.28;85555733360.1;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-10-30;;;;6.27;76882925768.05;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-10-29;;;;6.26;71451954018.64;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-10-28;;;;6.24;70563036317.47;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-10-25;;;;6.17;67471717450.93;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-10-24;;;;6.17;70047174901.83;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-10-23;;;;6.16;70204831794.63;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-10-22;;;;6.17;66021930404.46;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-10-21;;;;6.16;69383060721.78;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-10-18;;;;6.15;69562672659.34;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-10-17;;;;6.22;72608864254.15;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-10-16;;;;6.25;71826025908.52;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-10-15;;;;6.25;70946932351.76;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-10-14;;;;6.2;71765709453.47;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-10-11;;;;6.15;75279432008.26;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-10-10;;;;6.15;74133701257.06;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-10-09;;;;5.78;75549086978.75;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-10-08;;;;5.42;75317781374.12;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-10-07;;;;5.69;74318279558.92;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-10-04;;;;5.96;72166967763.65;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-10-03;;;;6.11;72101581611.92;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-10-02;;;;6.2;88676178766.12;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-10-01;;;;6.29;90123506047.04;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-09-30;;;;6.36;90609386592.73;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-09-27;;;;6.27;84192590697.88;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-09-26;;;;6.25;79129756226.29;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-09-25;;;;6.26;83499059440.16;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-09-24;;;;6.22;86381702512.79;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-09-23;;;;6.21;85815923620.05;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-09-20;;;;6.21;82216099510.34;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-09-19;;;;6.15;83101276911.09;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-09-18;;;;6.13;79914020138.67;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-09-17;;;;6.15;82277642855.98;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-09-16;;;;6.14;81898516264.45;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-09-13;;;;6.12;83129667473.95;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-09-12;;;;6.14;79552224772.77;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-09-11;;;;6.14;83345106326.73;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-09-10;;;;6.13;79873252242.21;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-09-09;;;;6.1;81994978623.25;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-09-06;;;;6.02;82474279964.66;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-09-05;;;;6.04;78036646244.35;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-09-04;;;;6.03;77980323090.66;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-09-03;;;;6.04;80350227004.2;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-09-02;;;;6.13;87606566792.89;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-08-30;;;;6.19;97362467207.47;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-08-29;;;;6.2;92366523835.41;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-08-28;;;;6.21;92119190472.66;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-08-27;;;;6.18;94912891191.1;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-08-26;;;;6.02;92693045958.41;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-08-23;;;;6.01;91011056535.16;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-08-22;;;;6.02;92434556115.46;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-08-21;;;;6.03;91356462711.08;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-08-20;;;;6.07;92378441942.37;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-08-19;;;;6.1;90860874154.07;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-08-16;;;;6.07;97274299694.97;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-08-15;;;;6.18;95990660232.76;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-08-14;;;;6.17;93758927179.51;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-08-13;;;;6.05;92768540520.92;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-08-12;;;;6.02;89464058066.82;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-08-09;;;;6.01;91445811903.95;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-08-08;;;;6.04;94060455742.19;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-08-07;;;;6.05;94546544833.64;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-08-06;;;;6.07;96294172146.42;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-08-05;;;;6.06;95379991852.96;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-08-02;;;;6.04;95911964334.09;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-08-01;;;;6.06;95218759817.37;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-07-31;;;;6.11;98835991401.87;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-07-30;;;;6.09;100916464792.33;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-07-29;;;;6.14;97057406317.65;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-07-26;;;;6.13;100724716132.72;;
